Symbol,Description
SHC1,SHC (SRC HOMOLOGY 2 DOMAIN CONTAINING) TRANSFORMING PROTEIN 1
SHC2,SHC (SRC HOMOLOGY 2 DOMAIN CONTAINING) TRANSFORMING PROTEIN 2
SHD,SRC HOMOLOGY 2 DOMAIN CONTAINING TRANSFORMING PROTEIN D
SLC39A11,"SOLUTE CARRIER FAMILY 39 (METAL ION TRANSPORTER), MEMBER 11"
SLC9A3R2,"SOLUTE CARRIER FAMILY 9 (SODIUM/HYDROGEN EXCHANGER), MEMBER 3 REGULATOR 2"
SLCO5A1,"SOLUTE CARRIER ORGANIC ANION TRANSPORTER FAMILY, MEMBER 5A1"
SOX13,SRY (SEX DETERMINING REGION Y)-BOX 13
SP100,SP100 NUCLEAR ANTIGEN
SP6,SP6 TRANSCRIPTION FACTOR
SPANXB2,"SPANX FAMILY, MEMBER B1"
SPATS2,"SPERMATOGENESIS ASSOCIATED, SERINE-RICH 2"
SPY1,SPEEDY HOMOLOG 1 (DROSOPHILA)
ST8SIA1,"ST8 ALPHA-N-ACETYL-NEURAMINIDE ALPHA-2,8-SIALYLTRANSFERASE 1"
STARD7,START DOMAIN CONTAINING 7
STK3,"SERINE/THREONINE KINASE 3 (STE20 HOMOLOG, YEAST)"
STK31,SERINE/THREONINE KINASE 31
STK33,SERINE/THREONINE KINASE 33
STK39,"SERINE THREONINE KINASE 39 (STE20/SPS1 HOMOLOG, YEAST)"
SYMPK,SYMPLEKIN
SYNJ2BP,SYNAPTOJANIN 2 BINDING PROTEIN
SYT8,SYNAPTOTAGMIN VIII
TACC3,"TRANSFORMING, ACIDIC COILED-COIL CONTAINING PROTEIN 3"
TDRD1,TUDOR DOMAIN CONTAINING 1
TEAD1,TEA DOMAIN FAMILY MEMBER 1 (SV40 TRANSCRIPTIONAL ENHANCER FACTOR)
TEAD3,TEA DOMAIN FAMILY MEMBER 3
TESK1,TESTIS-SPECIFIC KINASE 1
TGFB1I4,"TSC22 DOMAIN FAMILY, MEMBER 1"
TGFBR1,"TRANSFORMING GROWTH FACTOR, BETA RECEPTOR I (ACTIVIN A RECEPTOR TYPE II-LIKE KINASE, 53KDA)"
THAP7,THAP DOMAIN CONTAINING 7
THSD2,R-SPONDIN 3 HOMOLOG (XENOPUS LAEVIS)
TM9SF4,TRANSMEMBRANE 9 SUPERFAMILY PROTEIN MEMBER 4
TMEM17,TRANSMEMBRANE PROTEIN 17
TNFSF13B,"TUMOR NECROSIS FACTOR (LIGAND) SUPERFAMILY, MEMBER 13B"
TNPO2,"TRANSPORTIN 2 (IMPORTIN 3, KARYOPHERIN BETA 2B)"
TORC3,CREB REGULATED TRANSCRIPTION COACTIVATOR 3
TRAPPC1,TRAFFICKING PROTEIN PARTICLE COMPLEX 1
TRHDE,THYROTROPIN-RELEASING HORMONE DEGRADING ENZYME
TRPM3,"TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY M, MEMBER 3"
TRPV2,VANILLOID RECEPTOR-LIKE PROTEIN 1
TTC9,TETRATRICOPEPTIDE REPEAT DOMAIN 9
TUBA3,"TUBULIN, ALPHA 3"
TUBB4,TUBULIN BETA 4; MELANOCORTIN 1 RECEPTOR (ALPHA MELANOCYTE STIMULATING HORMONE RECEPTOR)
TUWD12,PEROXISOMAL LON PROTEASE LIKE
UBE2I,"UBIQUITIN-CONJUGATING ENZYME E2I (UBC9 HOMOLOG, YEAST)"
UBE2J1,"UBIQUITIN-CONJUGATING ENZYME E2, J1 (UBC6 HOMOLOG, YEAST)"
UBE3A,"UBIQUITIN PROTEIN LIGASE E3A (HUMAN PAPILLOMA VIRUS E6-ASSOCIATED PROTEIN, ANGELMAN SYNDROME)"
UBXD3,UBX DOMAIN CONTAINING 3
UFD1L,UBIQUITIN FUSION DEGRADATION 1 LIKE (YEAST)
UPK3B,UROPLAKIN 3B
USP11,UBIQUITIN SPECIFIC PEPTIDASE 11
USP16,UBIQUITIN SPECIFIC PEPTIDASE 16
USP6,HYPERPOLYMORPHIC GENE 1
VPS11,VACUOLAR PROTEIN SORTING 11 (YEAST)
VPS33,VACUOLAR PROTEIN SORTING 33A (YEAST)
WBSCR20C,NOL1R2 PROTEIN
WDR18,WD REPEAT DOMAIN 18
WDR20,WD REPEAT DOMAIN 20
WDR26,WD REPEAT DOMAIN 26
WDR34,WD REPEAT DOMAIN 34
WDR51A,WD REPEAT DOMAIN 51A
WDR7,WD REPEAT DOMAIN 7
XAB2,XPA BINDING PROTEIN 2
XYLB,XYLULOKINASE HOMOLOG (H. INFLUENZAE)
YAP1,"YES-ASSOCIATED PROTEIN 1, 65KDA"
ZAP70,ZETA-CHAIN (TCR) ASSOCIATED PROTEIN KINASE 70KDA
ZNF214,ZINC FINGER PROTEIN 214
ZNF322A,ZINC FINGER PROTEIN 322A
ZNF366,ZINC FINGER PROTEIN 366
ZNF608,DKFZP434M098 PROTEIN
